shrid2,centroid_lat,centroid_lon,distance_km,lat,lon
11-28-532-04306-568993,19.67245945457002,78.56973203189847,0.5709780673716072,19.675,78.565
11-28-532-04306-568994,19.673207456262755,78.50232459927777,0.34418564586359846,19.675,78.505
11-28-532-04306-568995,19.63602711483277,78.50796415425678,0.33114579576361347,19.635,78.505
11-28-532-04306-568996,19.64385487408642,78.57250401839819,0.2910774176984724,19.645,78.575
11-28-532-04306-568997,19.632805576043257,78.54980512333411,0.5599037142820992,19.635,78.545
11-28-532-04306-568998,19.61989665803169,78.58118135073492,0.6763577082056039,19.615,78.585
11-28-532-04306-568999,19.63106219270235,78.59872034562126,0.5867789390685085,19.635,78.595
11-28-532-04306-569000,19.60017277722452,78.60529030264946,0.538225647,19.605,78.605
11-28-532-04306-569001,19.603253214579016,78.56262387097668,0.31607014444827675,19.605,78.565
11-28-532-04306-569002,19.569424297959436,78.44772663,0.5695275924619383,19.565,78.445
11-28-532-04306-569003,19.58271289659198,78.52978345182352,0.5625934728143551,19.585,78.525
11-28-532-04306-569004,19.57303930261032,78.55173408846214,0.40617622750101234,19.575,78.555
11-28-532-04306-569005,19.58019037897326,78.57363738772845,0.5541496249802802,19.585,78.575
11-28-532-04306-569006,19.565515545853273,78.61237362438342,0.2814001396806663,19.565,78.615
11-28-532-04306-569007,19.595212374822147,78.64811714807699,0.3277570057386764,19.595,78.645
11-28-532-04306-569008,19.611323338735918,78.62473947574959,0.41019477935802445,19.615,78.625
11-28-532-04306-569009,19.703178572923683,78.54739505160985,0.32266867740409083,19.705,78.545
11-28-532-04306-569010,19.576132844266912,78.67358025447807,0.1951344253538825,19.575,78.675
11-28-532-04306-569011,19.60348706191383,78.71281137384925,0.28467822821670263,19.605,78.715
11-28-532-04306-569012,19.587142144610038,78.73620957640027,0.27010629647886847,19.585,78.735
11-28-532-04306-569013,19.577916020739245,78.77042532016918,0.5793038694924759,19.575,78.775
11-28-532-04306-569014,19.56476255060408,78.73957582195284,0.48069544399614694,19.565,78.735
11-28-532-04306-569015,19.572780839001215,78.70651770592792,0.2938828215140528,19.575,78.705
11-28-532-04306-569016,19.542892629858958,78.71238834023995,0.3606899658628518,19.545,78.715
11-28-532-04306-802896,19.674972027656814,78.53553128998249,0.055777012,19.675,78.535
11-28-532-04307-569019,19.760931941569492,78.50412248,0.46209114581863703,19.765,78.505
11-28-532-04307-569020,19.773037513359547,78.51931861375284,0.5023846728636587,19.775,78.515
11-28-532-04307-569022,19.807802889887217,78.51815523464879,0.4544870933304719,19.805,78.515
11-28-532-04307-569023,19.809339511788085,78.53278879864914,0.5357157976908568,19.805,78.535
11-28-532-04307-569024,19.81252627769574,78.54504581952907,0.27541531461911384,19.815,78.545
11-28-532-04307-569025,19.780691840067288,78.54602014522875,0.4913431460346073,19.785,78.545
11-28-532-04307-569026,19.757649829357526,78.53016957917619,0.5857625314112666,19.755,78.535
11-28-532-04307-569028,19.739778256381523,78.53438192350193,0.5358410173442486,19.735,78.535
11-28-532-04307-569029,19.741196321055753,78.55269154742912,0.4876357133128122,19.745,78.555
11-28-532-04307-569030,19.758902861347902,78.55658839394039,0.46524399016121387,19.755,78.555
11-28-532-04307-569031,19.774177317747334,78.56396542290094,0.14188946419932222,19.775,78.565
11-28-532-04307-569033,19.796996348855757,78.56431209553729,0.23362098194654446,19.795,78.565
11-28-532-04307-569034,19.81086419263401,78.55886590246398,0.613097497,19.815,78.555
11-28-532-04307-569035,19.80972792381945,78.57552169750971,0.5291386737078226,19.805,78.575
11-28-532-04307-569036,19.801931116067614,78.59274974892953,0.4150361052093265,19.805,78.595
11-28-532-04307-569038,19.77667718087358,78.59584994100302,0.20684583957696237,19.775,78.595
11-28-532-04307-569040,19.763622189723094,78.58355440074587,0.21554516963559595,19.765,78.585
11-28-532-04307-569041,19.75661402266782,78.57323404989363,0.2578997627522771,19.755,78.575
11-28-532-04307-569042,19.74368143069728,78.57205759675433,0.3414497174351909,19.745,78.575
11-28-532-04307-569044,19.724097391377818,78.58693653714589,0.2264390988274882,19.725,78.585
11-28-532-04307-569045,19.727670193691768,78.60254343556333,0.3932137579457622,19.725,78.605
11-28-532-04307-569046,19.74666087154543,78.59473813667567,0.1869120132501757,19.745,78.595
11-28-532-04307-569047,19.762399356863117,78.60807383465492,0.43302378830803084,19.765,78.605
11-28-532-04307-569048,19.791639170895074,78.62328481747893,0.4150244426562679,19.795,78.625
11-28-532-04307-569049,19.757981155885716,78.63803478535374,0.4595875960371479,19.755,78.635
11-28-532-04307-569050,19.789011971526275,78.64242613744213,0.5216775440174092,19.785,78.645
11-28-532-04307-569052,19.776232014624068,78.65832374811491,0.3742148723736945,19.775,78.655
